	comment	label	label_id
	واقعا حیف وقت که بنویسم سرویس دهیتون شده افتضاح	SAD	1
	قرار بود ۱ ساعته برسه ولی نیم ساعت زودتر از موقع رسید، شما ببین چقدرررررررررررر پلاک خفنههههه، من سالهاست مشتریشونم و سالهاست مزه بهشت میده غذاشون	HAPPY	0
	قیمت این مدل اصلا با کیفیتش سازگاری نداره، فقط ظاهر فریبنده داره، پرش میکنن کالباس و قارچ	SAD	1
	عالللی بود همه چه درست و به اندازه و کیفیت خوب، امیداورم همیشه کیفیتتون خوب باشه ما مشتری همیشگی بشیم	HAPPY	0
	شیرینی وانیلی فقط یک مدل بود.	HAPPY	0
	بدترین پیتزایی که تا به حال خورده بودم	SAD	1
	از همه لحاظ عالی ممنونم	HAPPY	0
	کیفیت غذا متوسط رو به پایین بود انگار داخل یه رستوران معمولی غذا خوردی درحالی که امتیاز رستوران در اسنپ فود ۴٫۳ بود	SAD	1
	همه اقلام تازه و به روز وخیلیییییی سریع بدستم رسید واقعا متشکرم	HAPPY	0
	همه چی خوب ولی هات داگ دورش کلا سوخته بود و داخلش خام بود!!!!	SAD	1
	اکلر فوق العاده بود اما بافت چیزکیک مونده بود و دوست نداشتم.	HAPPY	0
	خوب بود و از رستوران غنچه و اسنپ فود تشکر میکنم	HAPPY	0
	مثل همیشه عااااالی هستی پرپروک جاااااان مچکریم ازت	HAPPY	0
	Kheili khub bud mersi vaghan	HAPPY	0
	عکس با شیریبی که ارسال کردند فرق داشت و خیلی نامرتب و خورد شده بود. اصلا پیشنهاد نمیکنم	SAD	1
	سریع سفارش بدستم رسید ممنونم اسنپ فود	HAPPY	0
	خیلی عالی بود خیلی هم زود رسید خوشمزه	HAPPY	0
	هات داگ یکم خام بود. حجمش خوب بود	HAPPY	0
	ممنون که به صلاحدید هودتون سفارش رو تغییر دادید.	SAD	1
	پیتزا سرد و خیلی خیلی بدمزه بود و میگوتون افتضاح بویه بد میداذ، سیبزمینیا افتضاح بودن واقعا از بوکا انتظاره بیشتری میره بعده اینهمه سال.. دیگه ازتون غذا نمیگیرم مطمئنم	SAD	1
	خیلی مسخرس یک ساعت باید منتظر موند و تازه ۳ هزار تومان هم پول اسنپ اکسپرس بدی در صورتی که رستورانای اطراف تلفنی با پیک‌مجانی میارن حالا اگه زود بیارید اشکالی نداره پول هم بگیرید بابتش ولی نه بک ساعتتتت برای یک پیتزا ساده	SAD	1
 هزار پول ساندویچ شد، ولی بیشترش قارچ بود	SAD	1
	سفارش من رانی آناناس بود ولی مغازه سانی نس آناناس ارسال کرده	SAD	1
	سلام. خیلی عالیه. متشکرم. همیشه در کارتان موفق باشید	HAPPY	0
	سفارش پس از تاخیر بسیار طولانی رسید و متاسفانه بستنی‌ها آب شده بودند.	SAD	1
	بسیار عالی و به موقع رسید طعم و کیفیت هم عالی بود	HAPPY	0
	مثل دفعه قبل هم به موقع هم خوشمزه	HAPPY	0
	کیفیت غذا خوب بود و تقریبا داغ بود اما خیلی دیر رسید	HAPPY	0
	بد نبود اما برخلاف دفعات قبل چرب‌تر بود و بال هام خوب نپخته بود	SAD	1
	من فقط یه سیب زمینی سفارش دادم ۲ ساعت طول کشید	SAD	1
	سریع و زودتر از تایم اعلامی بدستم رسید و این خیلی خوبه	HAPPY	0
	بسیار تازه و خوشمزه بود مرسی	HAPPY	0
	سس ۴۸۵گرمی سفارش دادن، اما سس ۴۵۵گرمی برام آوردن!	SAD	1
	نوشابه ارسال نشد، با این که هزینه آن پرداخت شده بود. (منوی دینر همراه با نوشابه است)	SAD	1
	سلام بسیار خوب بود ممنون	HAPPY	0
	دستتون درد نکنه عالی بود هم حجمش از لحاظ قیمت زیاد بود هم خوب پخته شده بود فکر کنم میشم مشتری دائم خیلی زود هم رسید جاتون خالی غذای داغ و خوشمزه میل کردیم	HAPPY	0
